tradeDate,closeIndex,CHGPct
2014/5/8,2015.274,0.002582
2014/5/9,2011.135,-0.002054
2014/5/12,2052.871,0.020752
2014/5/13,2050.728,-0.001044
2014/5/14,2047.91,-0.001374
2014/5/15,2024.974,-0.0112
2014/5/16,2026.504,0.000756
2014/5/19,2005.183,-0.010521
2014/5/20,2008.119,0.001464
2014/5/21,2024.951,0.008382
2014/5/22,2021.285,-0.00181
2014/5/23,2034.569,0.006572
2014/5/26,2041.476,0.003395
2014/5/27,2034.565,-0.003385
2014/5/28,2050.228,0.007698
2014/5/29,2040.595,-0.004699
2014/5/30,2039.212,-0.000678
2014/6/3,2038.305,-0.000445
2014/6/4,2024.834,-0.006609
2014/6/5,2040.878,0.007924
2014/6/6,2029.956,-0.005352
2014/6/9,2030.502,0.000269
2014/6/10,2052.532,0.01085
2014/6/11,2054.948,0.001177
2014/6/12,2051.713,-0.001574
2014/6/13,2070.715,0.009262
2014/6/16,2085.983,0.007373
2014/6/17,2066.698,-0.009245
2014/6/18,2055.519,-0.005409
2014/6/19,2023.735,-0.015463
2014/6/20,2026.674,0.001452
2014/6/23,2024.365,-0.001139
2014/6/24,2033.931,0.004725
2014/6/25,2025.502,-0.004144
2014/6/26,2038.677,0.006505
2014/6/27,2036.51,-0.001063
2014/6/30,2048.327,0.005803
2014/7/1,2050.381,0.001003
2014/7/2,2059.418,0.004407
2014/7/3,2063.229,0.001851
2014/7/4,2059.375,-0.001868
2014/7/7,2059.927,0.000268
2014/7/8,2064.021,0.001987
2014/7/9,2038.612,-0.01231
2014/7/10,2038.342,-0.000132
2014/7/11,2046.961,0.004228
2014/7/14,2066.646,0.009617
2014/7/15,2070.357,0.001796
2014/7/16,2067.276,-0.001488
2014/7/17,2055.591,-0.005652
2014/7/18,2059.067,0.001691
2014/7/21,2054.479,-0.002228
2014/7/22,2075.481,0.010223
2014/7/23,2078.489,0.001449
2014/7/24,2105.062,0.012785
2014/7/25,2126.614,0.010238
2014/7/28,2177.948,0.024139
2014/7/29,2183.192,0.002408
2014/7/30,2181.243,-0.000893
2014/7/31,2201.562,0.009315
2014/8/1,2185.303,-0.007385
